,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Rafaela,-31.25,-61.49,82.99,14,20,1.99,AR,1600881650
375,Tommot,58.96,126.29,38.97,75,0,2.06,RU,1600881650
376,Pitiquito,30.7,-112.08,88.0,48,0,3.47,MX,1600881651
377,Manadhoo,5.77,73.38,82.13,79,65,12.88,MV,1600881652
378,Simpang,-1.27,104.08,76.41,94,37,2.28,ID,1600881653
379,Baruun-Urt,46.68,113.28,40.96,69,4,6.08,MN,1600881653
380,São Filipe,14.9,-24.5,80.91,77,17,5.37,CV,1600881654
381,Tomatlán,19.93,-105.25,91.62,60,28,1.01,MX,1600881654
382,Padang,-0.95,100.35,75.79,83,100,4.52,ID,1600881655
383,Collie,-33.37,116.15,57.0,54,0,7.83,AU,1600881655
384,Touros,-5.2,-35.46,86.0,55,40,17.22,BR,1600881656
385,Kitimat,54.05,-128.65,51.01,94,100,2.26,CA,1600881657
386,Krotovka,53.29,51.17,50.83,80,23,7.02,RU,1600881658
387,Pingliang,35.54,106.69,55.76,75,2,3.62,CN,1600881658
388,Woodward,36.43,-99.39,75.2,68,40,3.04,US,1600881659
389,Beidao,34.57,105.89,57.36,75,0,3.49,CN,1600881407
390,Tuatapere,-46.13,167.68,51.01,75,52,7.0,NZ,1600881660
391,Oktyabr'skoye,43.06,44.74,60.8,82,15,6.71,RU,1600881661
392,North Bend,43.41,-124.22,71.6,68,90,12.75,US,1600881661
393,Lubango,-14.92,13.49,82.4,45,44,4.7,AO,1600881662
394,Ferrol,43.48,-8.24,66.2,68,20,11.41,ES,1600881662
395,Siocon,7.71,122.14,79.54,78,69,2.3,PH,1600881663
396,Thoen,17.61,99.22,77.38,90,100,0.94,TH,1600881663
397,Tilichiki,60.47,166.1,31.19,93,14,5.7,RU,1600881664
398,Al Bardīyah,31.76,25.09,75.0,77,0,10.92,LY,1600881664
399,Maţāy,28.42,30.78,85.73,34,0,10.67,EG,1600881665
400,Lawrenceburg,38.04,-84.9,73.99,56,1,3.36,US,1600881665
401,Uvalde,29.37,-99.77,84.0,57,40,8.05,US,1600881666
402,Santa Rosalía,27.32,-112.28,90.93,38,0,4.23,MX,1600881668
403,Ulsteinvik,62.34,5.85,46.99,81,20,10.29,NO,1600881668
404,Neuquén,-38.95,-68.06,66.2,29,2,6.93,AR,1600881669
405,Kristinestad,62.27,21.38,54.68,83,59,15.01,FI,1600881669
406,Emba,48.83,58.14,60.62,52,0,12.15,KZ,1600881670
407,Athabasca,54.72,-113.29,58.59,70,14,14.29,CA,1600881394
408,Logan Lake,50.5,-120.8,60.8,67,75,11.41,CA,1600881672
409,Artyom,40.47,50.33,69.8,73,0,4.7,AZ,1600881673
410,Örnsköldsvik,63.29,18.72,51.8,100,34,6.93,SE,1600881673
411,Tura,25.52,90.22,73.65,98,100,6.24,IN,1600881674
412,Muborak,39.26,65.15,62.38,27,0,13.29,UZ,1600881674
413,Gijang,35.24,129.21,68.0,68,75,9.17,KR,1600881576
414,Khovd,48.01,91.64,51.3,47,59,0.76,MN,1600881675
415,Qaqortoq,60.72,-46.03,44.6,19,40,8.05,GL,1600881676
416,Kavaratti,10.57,72.64,81.66,81,99,18.52,IN,1600881678
417,Sangar,63.92,127.47,39.87,78,95,1.59,RU,1600881678
418,Fort Nelson,58.81,-122.7,39.2,93,90,5.82,CA,1600881679
419,Riverton,40.52,-111.94,77.0,36,7,11.41,US,1600881680
420,El Congo,13.91,-89.5,87.8,58,20,2.24,SV,1600881680
421,Blagoyevo,63.37,47.92,40.06,89,26,4.03,RU,1600881681
422,Vardø,70.37,31.11,46.4,70,97,21.92,NO,1600881681
423,Tonneins,44.39,0.31,73.0,72,72,3.0,FR,1600881682
424,Gualaquiza,-3.4,-78.55,63.75,90,100,0.36,EC,1600881682
425,Chicama,-7.84,-79.15,73.09,58,71,9.71,PE,1600881683
426,Shelburne,44.08,-80.2,73.99,53,20,6.93,CA,1600881683
427,Nizhniy Kuranakh,58.84,125.49,38.71,79,0,2.04,RU,1600881684
428,Bambanglipuro,-7.95,110.28,77.54,86,93,2.55,ID,1600881684
429,Bazarnye Mataki,54.88,49.93,49.12,74,16,5.66,RU,1600881685
430,Zhengjiatun,43.51,123.51,55.04,80,80,4.56,CN,1600881685
431,Zelenogradsk,54.96,20.48,69.8,68,21,4.47,RU,1600881686
432,Grindavik,63.84,-22.43,39.2,69,75,19.46,IS,1600881686
433,Aklavik,68.22,-135.01,33.8,100,90,6.93,CA,1600881687
434,Hazorasp,41.32,61.07,59.0,54,0,4.7,UZ,1600881688
435,Kandrian,-6.22,149.55,76.64,89,94,2.77,PG,1600881690
436,Los Llanos de Aridane,28.66,-17.92,80.6,61,20,1.12,ES,1600881690
437,Pangnirtung,66.15,-65.71,41.0,35,90,13.87,CA,1600881691
438,Taku,39.02,117.65,62.6,100,40,4.47,CN,1600881691
439,Caxito,-8.58,13.66,77.0,73,20,9.17,AO,1600881692
440,Codrington,-38.27,141.97,44.31,84,96,7.94,AU,1600881692
441,Parker,32.77,-97.8,69.01,91,99,4.0,US,1600881693
442,Palau,7.5,134.62,75.2,94,75,4.7,PW,1600881693
443,Mazara del Vallo,37.66,12.59,82.0,74,20,6.93,IT,1600881694
444,Oistins,13.07,-59.53,89.6,66,20,13.87,BB,1600881695
445,Altona,53.55,9.93,70.0,59,20,3.36,DE,1600881695
446,Baculin,7.45,126.58,80.02,81,100,7.11,PH,1600881696
447,Coruripe,-10.13,-36.18,79.27,68,69,12.1,BR,1600881696
448,Dourbali,11.81,15.86,88.99,39,35,6.51,TD,1600881697
449,Kenai,60.55,-151.26,51.01,81,90,12.75,US,1600881697
450,Urucará,-2.54,-57.76,101.91,28,8,5.7,BR,1600881698
451,Kiryat Gat,31.61,34.76,82.0,74,0,7.36,IL,1600881698
452,Ol'ga,43.74,135.29,50.67,90,96,6.93,RU,1600881699
453,Beloha,-25.17,45.05,60.6,73,0,11.36,MG,1600881699
454,Santa Marta,11.24,-74.2,89.6,75,40,5.82,CO,1600881700
455,Rongcheng,30.63,117.85,61.47,82,37,0.78,CN,1600881700
456,Songea,-10.68,35.65,73.4,60,40,11.41,TZ,1600881701
457,Paso de los Toros,-32.82,-56.52,69.8,46,75,6.93,UY,1600881701
458,Shirokaya Rechka,56.8,60.49,46.4,70,20,20.13,RU,1600881702
459,Bowen,-20.02,148.23,68.0,100,90,4.7,AU,1600881702
460,Foz,43.57,-7.25,71.01,51,100,9.69,ES,1600881703
461,Ürümqi,43.8,87.6,64.4,36,96,8.95,CN,1600881704
462,Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,100,53,6.71,RU,1600881704
463,Raudeberg,61.99,5.14,48.0,76,64,12.66,NO,1600881706
464,Lombardía,19.15,-102.03,70.0,63,42,1.99,MX,1600881707
465,Guayaramerín,-10.84,-65.36,89.6,52,59,3.36,BO,1600881708
466,Plácido de Castro,-10.34,-67.19,93.2,40,65,3.15,BR,1600881708
467,Hervey Bay,-25.3,152.85,71.01,91,100,1.01,AU,1600881709
468,Nabire,-3.37,135.48,75.4,85,77,3.49,ID,1600881709
469,Yabassi,4.46,9.97,80.6,83,40,3.36,CM,1600881710
470,Kiruna,67.86,20.23,44.6,93,94,17.22,SE,1600881710
471,Calolziocorte,45.8,9.44,68.0,82,26,2.39,IT,1600881711
472,Borogontsy,62.67,131.17,39.11,82,0,1.07,RU,1600881711
473,Beringovskiy,63.05,179.32,40.44,71,61,8.3,RU,1600881712
474,Stromness,58.97,-3.3,50.0,66,20,4.7,GB,1600881712
475,Yarim,14.3,44.38,62.78,58,100,2.21,YE,1600881713
476,Riachão do Jacuípe,-11.81,-39.39,86.99,46,100,9.8,BR,1600881713
477,Plouzané,48.38,-4.62,59.0,67,40,12.75,FR,1600881714
478,Acapulco de Juárez,16.86,-99.89,87.8,74,5,5.82,MX,1600881714
479,Caernarfon,53.14,-4.27,53.6,66,99,8.05,GB,1600881716
480,Marinette,45.1,-87.63,75.2,69,1,3.36,US,1600881716
481,Nikolayevsk-on-Amur,53.14,140.73,44.28,79,0,2.39,RU,1600881717
482,Pacific Grove,36.62,-121.92,72.0,68,1,3.36,US,1600881718
483,Pathein,16.78,94.73,77.0,93,100,1.25,MM,1600881718
484,Hofn,64.25,-15.21,41.0,56,20,17.22,IS,1600881719
485,Homer,59.64,-151.55,50.0,93,90,4.14,US,1600881719
486,San Fernando del Valle de Catamarca,-28.47,-65.79,83.79,18,15,2.37,AR,1600881720
487,Ulaangom,49.98,92.07,53.1,42,50,7.34,MN,1600881721
488,Jiwani,25.05,61.74,84.22,66,0,2.68,PK,1600881721
489,Saldanha,-33.01,17.94,66.2,63,0,11.41,ZA,1600881722
490,Ladybrand,-29.19,27.46,58.48,33,0,4.21,ZA,1600881722
491,Boyuibe,-20.42,-63.28,91.4,19,0,11.41,BO,1600881724
492,Awjilah,29.11,21.29,83.19,31,0,6.33,LY,1600881724
493,Omsukchan,62.53,155.8,30.43,91,99,5.21,RU,1600881725
494,Bilibino,68.05,166.44,34.27,91,100,5.12,RU,1600881725
495,Nuristan,35.3,70.83,37.92,68,7,4.83,AF,1600881726
496,Peniche,39.36,-9.38,73.0,87,93,3.0,PT,1600881726
497,Comodoro Rivadavia,-45.87,-67.5,64.4,43,0,13.87,AR,1600881727
498,Vanimo,-2.67,141.3,77.85,84,96,4.07,PG,1600881727
499,Kuminskiy,58.67,66.57,41.56,90,100,11.99,RU,1600881728
500,Aykino,62.22,49.99,39.52,90,27,5.75,RU,1600881728
501,Kiama,-34.68,150.87,55.0,64,0,10.0,AU,1600881729
502,Zwedru,6.07,-8.13,79.74,88,20,4.52,LR,1600881729
503,Conceição da Barra,-18.59,-39.73,77.23,72,95,8.19,BR,1600881730
504,Verkhnyaya Khava,51.84,39.94,59.0,51,61,2.24,RU,1600881731
505,Concordia,-31.39,-58.02,78.8,39,30,11.41,AR,1600881731
506,Thisted,56.96,8.69,62.01,81,83,12.71,DK,1600881732
507,La Rioja,42.25,-2.5,77.0,47,40,5.82,ES,1600881733
508,Longyan,25.11,117.02,72.37,88,98,2.21,CN,1600881518
509,Nanortalik,60.14,-45.24,39.25,73,91,12.08,GL,1600881734
510,Malbork,54.04,19.03,64.99,100,89,8.08,PL,1600881736
511,Kumul,42.8,93.45,69.8,27,20,7.54,CN,1600881736
512,Roald,62.58,6.13,48.2,66,40,3.36,NO,1600881737
513,Kasama,-10.21,31.18,73.62,40,61,9.64,ZM,1600881737
514,Nador,35.17,-2.93,86.0,69,78,14.99,MA,1600881738
515,Lianzhou,24.78,112.38,66.49,85,91,3.69,CN,1600881739
516,Tambacounda,13.75,-13.76,89.6,59,40,11.41,SN,1600881739
517,Tveit,58.23,8.12,59.0,93,40,8.05,NO,1600881740
518,Zyryanka,65.75,150.85,37.49,89,75,7.45,RU,1600881740
519,Altay,47.87,88.12,46.35,56,37,2.24,CN,1600881741
520,Biak,-0.91,122.88,77.52,78,96,4.83,ID,1600881741
521,Bantry,51.68,-9.45,55.4,66,30,4.7,IE,1600881742
522,Vesele,47.01,34.91,63.41,40,0,5.1,UA,1600881743
523,Kabanjahe,3.1,98.49,64.44,98,97,4.59,ID,1600881744
524,Sūsangerd,31.56,48.18,87.8,33,0,2.24,IR,1600881744
525,Korla,41.76,86.15,75.0,64,92,1.99,CN,1600881684
526,Carstairs,51.57,-114.1,63.0,55,95,3.0,CA,1600881745
527,Aichach,48.46,11.13,64.0,88,90,3.85,DE,1600881746
528,Salé,34.04,-6.82,84.2,42,100,6.93,MA,1600881746
529,Warwick,41.7,-71.42,77.0,38,5,17.22,US,1600881749
530,Ukholovo,53.79,40.49,54.0,70,100,1.77,RU,1600881749
531,Terrace Bay,48.78,-87.1,55.4,87,90,6.93,CA,1600881750
532,Agua Verde,22.9,-106.05,88.0,78,75,1.66,MX,1600881750
533,Ilhéus,-14.79,-39.05,78.8,78,40,9.17,BR,1600881751
534,Kilindoni,-7.91,39.67,78.12,81,1,16.64,TZ,1600881751
535,Linhares,-19.39,-40.07,72.54,86,99,3.38,BR,1600881753
536,Tautira,-17.73,-149.15,78.8,65,20,8.05,PF,1600881753
537,‘Ewa Beach,21.32,-158.01,78.8,78,1,3.36,US,1600881754
538,Chabahar,25.29,60.64,87.8,66,23,9.17,IR,1600881755
539,Lixouri,38.2,20.43,75.2,94,40,5.82,GR,1600881755
540,Deer Lake,49.17,-57.43,71.6,73,90,12.75,CA,1600881756
541,Fairhope,30.52,-87.9,81.0,69,90,13.87,US,1600881756
542,Serebryansk,49.69,83.29,60.8,29,75,20.13,KZ,1600881757
543,Dudinka,69.41,86.18,37.4,86,100,6.71,RU,1600881757
544,Yeniseysk,58.45,92.17,46.8,91,100,6.8,RU,1600881758
545,Tromsø,69.65,18.96,46.4,75,40,4.7,NO,1600881754
546,Telixtac,18.57,-98.77,75.0,83,40,3.36,MX,1600881760
547,Escárcega,18.61,-90.75,91.92,49,0,3.6,MX,1600881761
548,Makat,47.65,53.35,66.31,40,0,10.42,KZ,1600881762
549,Brae,60.4,-1.35,51.8,62,20,1.12,GB,1600881762
550,Kamphaeng Phet,16.48,99.52,82.0,99,100,1.54,TH,1600881763
551,Chernyshevskiy,63.01,112.47,41.83,83,0,4.56,RU,1600881763
552,São João da Barra,-21.64,-41.05,69.8,83,90,11.41,BR,1600881764
553,High Level,58.52,-117.14,53.6,66,75,9.17,CA,1600881764
554,Santiago de Chuco,-8.15,-78.18,62.58,44,44,4.54,PE,1600881765
555,Storslett,69.77,21.02,51.8,66,40,21.92,NO,1600881765
556,Almaznyy,48.04,40.05,66.2,32,0,8.95,RU,1600881766
