City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Boda,4.32,17.47,80.56,77,59,7.76,CF,1600698150
Caraballeda,10.61,-66.85,80.01,56,70,2.51,VE,1600698151
Lagoa,39.05,-27.98,68.27,80,43,15.26,PT,1600697679
Neiafu,-18.65,-173.98,75.2,83,75,4.7,TO,1600698152
Kruisfontein,-34.0,24.73,64.99,47,0,10.0,ZA,1600698152
Lerwick,60.15,-1.15,53.6,93,75,25.28,GB,1600697797
Mamlyutka,54.94,68.54,42.17,70,87,17.36,KZ,1600698153
Kathu,7.92,98.33,84.99,88,40,2.24,TH,1600697776
Melfort,52.87,-104.62,53.6,93,1,17.22,CA,1600698154
Lahat,-3.8,103.53,73.08,93,100,2.19,ID,1600698155
Mandalgovi,45.76,106.27,47.3,51,0,5.21,MN,1600698155
Kidal,18.44,1.41,102.72,9,0,9.46,ML,1600698156
Kâhta,37.79,38.62,87.8,19,40,8.05,TR,1600698157
Júlio de Castilhos,-29.23,-53.68,60.8,48,0,3.36,BR,1600698158
Champerico,14.3,-91.92,73.4,94,40,4.34,GT,1600697618
Fare,-16.7,-151.02,78.4,79,48,20.71,PF,1600698159
Legionowo,52.4,20.93,78.01,40,0,5.82,PL,1600698159
Villa Rica,33.73,-84.92,60.01,62,40,16.11,US,1600698160
Gravdal,68.12,13.5,48.2,87,75,31.09,NO,1600698160
Buala,-8.14,159.59,80.42,79,16,5.23,SB,1600697665
Pundaguitan,6.37,126.17,84.36,77,86,11.52,PH,1600698161
Mumford,5.26,-0.76,77.9,82,73,17.11,GH,1600697700
Camacha,33.08,-16.33,75.2,69,40,8.05,PT,1600697692
Pilar,-9.6,-35.96,82.4,69,75,14.99,BR,1600698163
Escanaba,45.75,-87.06,62.01,82,1,12.75,US,1600697657
Tutóia,-2.76,-42.27,85.84,59,57,14.94,BR,1600698164
Paamiut,61.99,-49.67,37.78,88,95,4.94,GL,1600698164
Itoman,26.12,127.67,80.6,78,20,17.22,JP,1600697927
Bowen,-20.02,148.23,69.8,94,90,7.2,AU,1600697700
Lüderitz,-26.65,15.16,72.52,31,2,30.44,NA,1600698166
Oskarshamn,57.26,16.45,66.0,62,26,5.99,SE,1600698166
Atbasar,51.8,68.33,48.7,64,100,11.72,KZ,1600697583
Palamós,41.85,3.13,70.0,41,50,9.78,ES,1600698167
Sergeevka,53.88,67.42,43.09,65,28,12.48,KZ,1600698168
Härnösand,62.63,17.94,62.6,59,99,10.29,SE,1600698168
Caxito,-8.58,13.66,78.8,57,20,8.05,AO,1600698169
Roald,62.58,6.13,57.99,93,75,29.97,NO,1600697792
Gushikawa,26.35,127.87,77.0,83,40,6.93,JP,1600698098
Belmonte,-15.86,-38.88,80.6,74,75,5.82,BR,1600698171
Margate,51.38,1.39,66.0,61,0,5.01,GB,1600698136
Barabinsk,55.36,78.36,54.82,62,0,8.68,RU,1600697602
San Quintín,30.48,-115.95,68.63,87,0,9.33,MX,1600697819
São José do Egito,-7.48,-37.27,89.42,33,90,6.93,BR,1600698173
College,64.86,-147.8,35.01,86,75,4.7,US,1600698120
Bol,13.46,14.71,79.97,69,51,7.85,TD,1600698174
Beringovskiy,63.05,179.32,40.03,90,100,10.71,RU,1600697639
Nevinnomyssk,44.63,41.95,71.01,2,0,11.01,RU,1600698175
Umluj,25.02,37.27,92.71,46,0,3.89,SA,1600698176
Hecun,36.53,114.11,69.73,47,100,4.85,CN,1600698177
Ayer Tawar,4.3,100.75,80.6,88,40,3.36,MY,1600698177
Maragogi,-9.01,-35.22,78.42,78,96,10.54,BR,1600698178
Ubari,26.59,12.78,94.15,16,0,11.79,LY,1600697755
Jiangyou,31.77,104.72,64.74,89,100,3.58,CN,1600698179
Hobyo,5.35,48.53,78.71,74,12,28.99,SO,1600698179
Shatrovo,56.52,64.63,38.98,85,100,12.15,RU,1600698180
Acaraú,-2.89,-40.12,82.17,65,100,17.27,BR,1600697650
Darhan,49.49,105.92,50.43,63,0,1.95,MN,1600697800
Yining,29.04,114.56,64.58,91,100,2.39,CN,1600698181
Mvuma,-19.28,30.53,89.98,10,0,9.55,ZW,1600698182
Maceió,-9.67,-35.74,82.4,69,75,14.99,BR,1600698183
Oussouye,12.48,-16.55,87.8,70,20,2.24,SN,1600698183
Oddur,4.12,43.89,90.3,23,75,18.12,SO,1600697604
Yagodnoye,62.55,149.67,26.92,93,0,1.77,RU,1600698184
Tongzi,28.78,105.09,66.29,95,100,5.61,CN,1600698185
Bauta,22.98,-82.55,84.2,74,20,3.36,CU,1600698185
São Filipe,14.9,-24.5,80.08,79,100,2.75,CV,1600698186
Ahipara,-35.17,173.17,51.67,90,8,5.01,NZ,1600698187
Sennar,13.57,33.57,94.05,38,0,2.06,SD,1600698187
Iranshahr,27.2,60.68,98.6,4,0,6.93,IR,1600698188
Aktash,50.3,87.73,40.48,67,0,3.65,RU,1600698188
Agropoli,40.35,15.0,80.6,69,40,11.41,IT,1600698189
Adrar,20.5,-10.07,99.72,22,0,7.81,MR,1600697814
Eyl,7.98,49.82,80.4,67,97,25.84,SO,1600698190
Penzance,50.12,-5.54,69.8,60,0,10.29,GB,1600698191
Agadez,19.75,10.25,99.75,10,0,6.53,NE,1600698191
Monrovia,6.3,-10.8,76.98,90,100,9.51,LR,1600698192
Lauder,55.72,-2.75,64.0,69,0,4.0,GB,1600698193
Yar-Sale,66.83,70.83,49.5,82,49,10.16,RU,1600697703
Paracale,14.28,122.79,79.9,87,100,4.07,PH,1600698194
Taksimo,56.34,114.88,42.4,87,100,3.96,RU,1600697759
São Miguel do Araguaia,-13.28,-50.16,99.39,28,100,4.72,BR,1600698195
Mocuba,-16.84,36.99,97.21,15,0,5.84,MZ,1600698195
Svetlaya,46.54,138.33,53.53,79,22,5.46,RU,1600697614
Vao,-22.67,167.48,69.69,77,18,19.28,NC,1600698196
Palmas,-10.21,-48.36,91.4,49,40,10.29,BR,1600698197
Nagato,34.38,131.2,69.8,68,20,11.41,JP,1600698197
Maridi,4.92,29.47,78.39,88,71,4.41,SS,1600698198
Okhotsk,59.38,143.3,46.09,75,0,7.4,RU,1600698192
Kuril'sk,45.23,147.88,57.43,92,46,3.2,RU,1600698199
Alice Springs,-23.7,133.88,75.0,24,40,1.12,AU,1600698200
Kawalu,-7.38,108.21,72.79,91,100,1.39,ID,1600698200
Burgeo,47.62,-57.62,52.63,56,38,10.31,CA,1600698201
Vagay,57.94,69.02,43.61,93,100,10.18,RU,1600698201
Bitung,1.45,125.18,77.0,94,20,4.23,ID,1600698202
Voh,-20.97,164.7,66.02,84,12,4.68,NC,1600698203
Buin,-33.73,-70.75,64.99,48,26,2.24,CL,1600698203
San Patricio,19.22,-104.7,86.0,74,40,4.05,MX,1600698204
Kuytun,54.34,101.5,45.0,92,38,4.83,RU,1600698204
Mhlambanyatsi,-26.45,31.02,54.28,84,99,10.04,SZ,1600698205
Jumla,29.27,82.18,60.58,70,0,2.82,NP,1600698121
Alappuzha,9.49,76.33,79.83,86,100,15.23,IN,1600698098
Hastings,50.86,0.57,73.0,64,0,10.29,GB,1600698071
Boca do Acre,-8.75,-67.4,85.23,64,100,2.73,BR,1600698207
Langsa,4.47,97.97,77.67,85,84,1.81,ID,1600698208
Yangi Marg`ilon,40.43,71.72,68.0,45,0,4.7,UZ,1600698209
Nosy Varika,-20.58,48.53,73.96,72,10,11.32,MG,1600698210
Zyryanka,65.75,150.85,32.41,90,79,9.08,RU,1600698211
Colquechaca,-18.67,-66.02,38.73,66,100,7.56,BO,1600698211
Deniliquin,-35.53,144.97,48.0,65,0,7.63,AU,1600698212
Saint-François,46.42,3.91,71.01,77,90,9.17,FR,1600698213
Khandyga,62.67,135.6,42.94,80,36,1.3,RU,1600698213
Changji,44.02,87.32,68.0,32,0,2.24,CN,1600698214
Faya,18.39,42.45,82.4,10,1,10.29,SA,1600698215
Babstovo,48.12,132.48,48.06,89,14,0.49,RU,1600698216
Bulgan,48.81,103.53,46.99,62,12,2.89,MN,1600698198
Bay Roberts,47.6,-53.26,54.0,50,64,7.72,CA,1600698217
Wakkanai,45.41,141.67,58.91,88,71,16.31,JP,1600698035
Salta,-24.79,-65.41,62.6,21,0,3.36,AR,1600698220
Zárate,-34.1,-59.03,61.0,37,13,3.0,AR,1600698220
Lagos,6.58,3.75,84.2,74,75,6.93,NG,1600698002
Poum,-20.23,164.02,71.89,71,0,10.29,NC,1600698221
Ternate,0.8,127.4,81.57,77,61,4.12,ID,1600698222
Cabrero,-37.03,-72.4,55.4,76,75,5.82,CL,1600698223
Nadvoitsy,63.87,34.32,47.62,84,100,12.44,RU,1600698223
Tsumeb,-19.23,17.72,96.39,9,4,5.75,NA,1600698224
Puerto Escondido,15.85,-97.07,78.8,78,20,5.82,MX,1600698224
Leh,34.17,77.58,58.06,24,0,3.69,IN,1600698052
Chifeng,42.27,118.96,57.2,66,62,8.75,CN,1600698203
Takoradze,4.88,-1.76,78.89,79,45,14.72,GH,1600698226
Ugoofaaru,5.67,73.0,82.27,78,77,13.98,MV,1600698226
Hambantota,6.12,81.12,75.2,100,75,1.12,LK,1600698227
Levin,-40.63,175.28,55.99,91,60,3.0,NZ,1600698228
Sabang,5.89,95.32,84.13,78,97,11.54,ID,1600698223
Pelym,61.01,62.0,38.34,80,100,8.05,RU,1600698229
Bayangol,50.7,103.47,40.59,77,0,2.51,RU,1600698229
Tieling,42.29,123.84,57.51,73,78,4.43,CN,1600698230
Wasilla,61.58,-149.44,42.01,100,20,1.77,US,1600698231
Puerto Padre,21.2,-76.6,86.0,70,40,3.36,CU,1600698232
Aripuanã,-9.17,-60.63,94.1,44,35,3.22,BR,1600698233
Los Llanos de Aridane,28.66,-17.92,80.6,65,20,11.41,ES,1600698234
Rabak,13.18,32.74,94.53,37,7,5.93,SD,1600698235
Vila Velha,-20.33,-40.29,82.4,65,40,10.29,BR,1600698235
Wanlaweyn,2.62,44.89,86.18,44,29,23.55,SO,1600698236
Tautira,-17.73,-149.15,75.2,69,20,3.36,PF,1600698236
Cotonou,6.37,2.42,84.2,74,40,11.41,BJ,1600697979
Panama City,8.99,-79.52,82.4,88,40,4.7,PA,1600698082
Madison,34.73,-86.57,64.99,59,1,12.75,US,1600698238
Catuday,16.29,119.81,82.13,76,89,1.05,PH,1600698239
Santa Isabel Rio Negro,-0.41,-65.02,92.23,47,0,2.98,BR,1600698240
Kapit,2.02,112.93,74.88,93,100,1.88,MY,1600698241
Port Hedland,-20.32,118.57,68.0,68,0,6.93,AU,1600698222
Hualmay,-11.1,-77.61,63.97,78,94,8.34,PE,1600698242
Tilichiki,60.47,166.1,31.66,96,49,3.69,RU,1600698243
Ishigaki,24.34,124.16,81.09,81,80,20.51,JP,1600698190
Lillooet,50.69,-121.94,55.4,71,1,6.93,CA,1600698244
Loyga,61.08,44.61,45.75,84,71,7.49,RU,1600698244
Launceston,-41.45,147.17,48.99,93,40,9.17,AU,1600698246
Merauke,-8.47,140.33,77.68,80,0,16.55,ID,1600698224
Shelburne,44.08,-80.2,55.99,66,20,4.7,CA,1600698247
Ceres,37.59,-120.96,73.99,87,1,3.36,US,1600698248
Huron,41.15,-82.55,57.99,73,0,5.99,US,1600698248
Rio Brilhante,-21.8,-54.55,72.14,65,100,6.08,BR,1600698250
Derzhavīnsk,51.1,66.32,46.85,71,63,17.83,KZ,1600698250
Chapais,49.78,-74.85,50.0,66,90,11.41,CA,1600698251
Narva-Jõesuu,59.46,28.04,61.45,69,100,11.63,EE,1600698252
Usinsk,65.99,57.53,39.56,77,82,13.58,RU,1600698252
Kayerkan,69.35,87.76,48.2,81,93,26.84,RU,1600698253
Port Blair,11.67,92.75,81.64,83,100,13.11,IN,1600698254
Sinnamary,5.38,-52.95,86.02,66,24,8.5,GF,1600698254
Gillette,44.29,-105.5,53.01,66,1,5.01,US,1600698255
Azul,-36.78,-59.86,51.01,51,0,3.0,AR,1600698255
Tallahassee,30.44,-84.28,66.2,68,90,9.17,US,1600698256
Katsuura,35.13,140.3,73.4,78,75,6.93,JP,1600698257
Loíza,18.43,-65.88,88.0,58,20,1.25,PR,1600698257
Sarlat-la-Canéda,44.89,1.22,73.99,69,78,1.01,FR,1600698258
Sola,-13.88,167.55,78.96,81,5,20.47,VU,1600698221
Marathon,44.9,-89.77,55.99,62,1,10.29,US,1600698260
Siddipet,18.1,78.85,75.79,89,100,13.33,IN,1600698261
Domažlice,49.44,12.93,73.0,46,0,3.36,CZ,1600698262
Faranah,10.04,-10.74,83.88,67,100,2.95,GN,1600698262
Korla,41.76,86.15,67.42,29,0,2.98,CN,1600698028
Beyneu,45.32,55.2,60.1,32,0,9.78,KZ,1600698263
Mariehamn,60.1,19.93,59.0,77,97,12.75,AX,1600698264
